Unnamed: 0,Code,deaths,X2018.people.per.sq..km,Mean_ann_earnings,median_age_2018,Name,lat,lon
263,E08000021,66,"2,646","28,350",32.4,Newcastle upon Tyne,54.9738474,-1.6131572
264,E08000022,27,"2,502","27,296",43.4,North Tyneside,55.0297994,-1.508256
265,E08000023,31,"2,334","25,656",43.5,South Tyneside,54.9698742,-1.4476805
266,E08000024,114,"2,018","23,743",42.2,Sunderland,54.9058512,-1.3828727
267,E08000025,501,"4,262","26,332",32.6,Birmingham,52.4796992,-1.9026911
268,E08000026,106,"3,718","27,628",32.1,Coventry,52.4081812,-1.510477
269,E08000027,120,"3,273","25,792",42.1,Dudley,52.5110832,-2.0816813
270,E08000028,139,"3,826","23,451",36.5,Sandwell,52.5151278,-2.0135624
271,E08000029,82,"1,205","33,596",43.3,Solihull,52.4130189,-1.7768935
272,E08000030,136,"2,725","22,988",38.2,Walsall,52.5847949,-1.9822687
273,E08000031,142,"3,773","23,714",37.7,Wolverhampton,52.5847651,-2.127567
274,E08000032,103,"1,466","25,263",36.2,Bradford,53.7944229,-1.7519186
275,E08000033,36,577,"25,656",42.2,Calderdale,53.7204748,-1.9622886
276,E08000034,85,"1,074","25,982",39.4,Kirklees,53.6422635,-1.7809433
277,E08000035,133,"1,430","27,571",35.4,Leeds,53.7974185,-1.5437941
278,E08000036,94,"1,019","24,190",41.8,Wakefield,53.6829541,-1.4967286
279,E08000037,62,"1,423","24,462",41.3,Gateshead,54.9625789,-1.6019294
280,E09000001,3,"2,998","56,829",41.0,City of London,51.5156177,-0.0919983
281,E09000002,95,"5,871","27,104",32.3,Barking and Dagenham,51.5541171,0.1505043
282,E09000003,227,"4,520","37,872",37.0,Barnet,51.65309,-0.2002261
283,E09000004,98,"4,082","34,243",38.8,Bexley,39.9692378,-82.936864
284,E09000005,255,"7,652","30,990",35.3,Brent,32.9373463,-87.1647184
285,E09000006,129,"2,205","42,970",40.6,Bromley,51.4028046,0.0148142
286,E09000007,81,"12,035","59,681",33.9,Camden,39.9448402,-75.1198911
287,E09000008,222,"4,455","34,732",37.4,Croydon,51.3713049,-0.101957
288,E09000009,177,"6,157","38,361",36.7,Ealing,51.5126553,-0.3051952
289,E09000010,181,"4,130","31,556",36.1,Enfield,51.6520851,-0.0810175
290,E09000011,112,"6,046","41,664",34.7,Greenwich,51.4820845,-0.0045417
291,E09000012,122,"14,681","34,129",33.0,Hackney,51.5432402,-0.0493621
292,E09000013,87,"11,308","52,965",34.8,Hammersmith and Fulham,51.4920377,-0.2236401
293,E09000014,153,"9,143","35,201",35.4,Haringey,51.5879299,-0.1054101
294,E09000015,197,"4,957","35,683",38.0,Harrow,51.5967688,-0.3372752
295,E09000016,122,"2,295","32,382",39.2,Havering,51.5443687,-0.1443032
296,E09000017,143,"2,635","30,167",35.9,Hillingdon,51.5425193,-0.4483349
297,E09000018,106,"4,837","32,699",36.0,Hounslow,51.4686132,-0.3613471
298,E09000019,77,"16,097","53,343",32.1,Islington,51.5384287,-0.0999051
299,E09000020,74,"12,884",x,39.4,Kensington and Chelsea,51.4875417,-0.1682205
300,E09000021,37,"4,709","41,573",37.2,Kingston upon Thames,51.4096275,-0.3062621
301,E09000022,141,"12,156","42,092",33.1,Lambeth,51.5013012,-0.117287
302,E09000023,152,"8,636","35,379",35.0,Lewisham,51.4624325,-0.0101331
303,E09000024,102,"5,480","45,195",37.1,Merton,51.4108029,-0.1880985
304,E09000025,168,"9,723","28,129",31.9,Newham,51.5299995,0.029318
305,E09000026,157,"5,386","34,970",35.5,Redbridge,51.5763203,0.0454097
306,E09000027,64,"3,430","58,327",40.7,Richmond upon Thames,51.440461,-0.3055192
307,E09000028,136,"10,992","37,769",33.4,Southwark,51.5029222,-0.103458
308,E09000029,74,"4,665","33,941",39.2,Sutton,30.5672947,-100.6432359
309,E09000030,105,"16,057","45,798",31.3,Tower Hamlets,51.1288633,1.2986686
310,E09000031,116,"7,130","32,167",34.9,Waltham Forest,42.3756401,-71.2358004
311,E09000032,112,"9,528","57,605",33.9,Wandsworth,51.4570271,-0.1932607
312,E09000033,102,"11,883","77,504",36.1,Westminster,39.8366528,-105.0372046
313,W06000001,2,98,"24,531",47.9,Isle of Anglesey,53.25,-4.333333
314,W06000002,18,49,"22,021",43.2,Gwynedd,52.9078799,-3.8334237
315,W06000003,8,104,"22,986",49.4,Conwy,53.146425,-3.7591346
316,W06000004,11,114,"22,801",46.6,Denbighshire,53.1097895,-3.3671262
317,W06000005,26,356,"25,172",43.9,Flintshire,53.2164468,-3.1401395
318,W06000006,7,270,"26,537",42.2,Wrexham,53.0465068,-2.9938137
319,W06000008,4,41,"22,844",46.1,Ceredigion,52.2945938,-3.9524725
320,W06000009,10,77,"23,793",48.0,Pembrokeshire,51.8339209,-4.916667
321,W06000010,17,79,"24,919",46.3,Carmarthenshire,51.8935366,-4.216487
322,W06000011,43,649,"25,743",39.6,Swansea,51.6195955,-3.9459248
323,W06000012,21,324,"24,157",43.3,Neath Port Talbot,51.6689557,-3.7218179
324,W06000013,29,578,"25,969",43.2,Bridgend,51.5049843,-3.5756674
325,W06000014,29,399,"30,443",43.7,Vale of Glamorgan,51.4470646,-3.3952079
326,W06000015,106,"2,585","28,702",33.6,Cardiff,51.4816546,-3.1791934
327,W06000016,72,566,"24,457",40.6,Rhondda Cynon Taf,51.6651636,-3.4577558
328,W06000018,67,653,"24,514",41.6,Caerphilly,51.6723809,-3.1783938
329,W06000019,22,641,"21,564",42.9,Blaenau Gwent,51.7533818,-3.1848555
330,W06000020,33,740,"25,755",42.4,Torfaen,51.70148,-3.0520503
331,W06000021,25,111,"32,558",48.6,Monmouthshire,51.7501058,-2.8333331
332,W06000022,61,805,"24,974",38.8,Newport,41.4899827,-71.3137707
333,W06000023,18,26,"22,421",49.9,Powys,52.3271511,-3.3550878
334,W06000024,15,540,"23,889",40.5,Merthyr Tydfil,51.7490624,-3.3786183
